# ;Datum;Zeit;Breitengrad_wgs;Laengengrad_wgs
315;21/01/2021;17:55;49.0811;13.2376
316;21/01/2021;17:56;49.081132;13.236537
317;21/01/2021;17:35;49.066831;13.271653
318;22/01/2021;17:40;49.075279;13.24375
319;23/01/2021;01:30;49.073486;13.234095
320;23/01/2021;01:30;49.073486;13.234095
321;22/01/2021;17:55;49.05504;13.275175
322;26/01/2021;16:40;49.0259;13.3324
323;26/01/2021;16:40;49.0259;13.3324
324;27/01/2021;436:48:00;49.076214;13.226552
325;29/01/2021;17:10;49.057397;13.277521
326;30/01/2021;09:00;49.0259;13.3324
327;30/01/2021;09:00;49.0259;13.3324
328;30/01/2021;09:00;49.0259;13.3324
329;30/01/2021;09:00;49.0259;13.3324
330;30/01/2021;17:45;49.028795;13.318822
331;30/01/2021;17:58;49.028795;13.318822
332;30/01/2021;18:05;49.017776;13.323378
333;30/01/2021;17:20;49.02109;13.31885
334;30/01/2021;18:15;49.017166;13.333251
335;31/01/2021;18:30;49.067517;13.24086
336;01/02/2021;08:30;49.059086;13.286588
337;01/02/2021;08:32;49.059086;13.286588
338;01/03/2021;21:45;49.0134;13.3598
339;01/03/2021;21:45;49.0134;13.3598
342;08/05/2020;23:00;0;0
343;12/05/2020;23:30;0;0
348;05/12/2020;17:30;0;0
350;01/07/2020;NA;0;0
352;09/01/2021;08:25;0;0
353;15/12/2021;17:25;49.055129;13.275479
354;06/02/2022;NA:NA;48.917097;13.42684
355;12/11/2021;16:40;49.066685;13.271566
356;10/09/2021;06:20;48.91574;13.47261
357;16/04/2021;22:20;49.05;13.3239
358;20/05/2021;23:00;49.02872;13.318837
359;01/02/2022;08:30;49.021427;13.328445
360;01/10/2021;06:45;48.92721;13.37844
361;27/12/2021;483:36:00;49.10104;13.206077
362;25/08/2021;21:40;48.93469;13.33024
363;24/01/2021;11:00;49.054766;13.298455
364;28/02/2022;NA:NA;48.897447;13.559763
365;22/12/2021;NA:NA;48.910094;13.425923
366;29/01/2022;09:00;49.020679;13.329677
367;19/11/2021;07:30;48.93025;13.32513
369;24/11/2021;17:40;48.92703;13.32998
371;03/06/2021;NA:NA;48.920738;13.438954
372;11/06/2021;NA:NA;48.94113;13.55743
373;26/01/2022;17:20;48.92002;13.42752
374;19/01/2022;NA:NA;48.919457;13.451777
375;10/08/2021;NA:NA;48.878836;13.567999
376;20/10/2021;459:36:00;0;0
377;05/07/2021;21:45;49.042372;13.332501
378;01/09/2021;06:00;48.9339;13.43351
379;01/10/2021;06:45;48.92721;13.37844
380;05/10/2021;NA:NA;48.917029;13.425886
381;25/08/2021;11:36;49.06047;13.28616
382;05/02/2022;08:15;49.060492;13.286164
383;19/11/2021;07:35;48.93025;13.32513
384;13/09/2021;20:00;48.94485;13.40234
385;29/01/2022;09:00;49.020679;13.329677
386;06/02/2022;NA:NA;48.917097;13.42684
387;17/12/2021;17:28;49.028775;13.319032
388;19/01/2022;17:10;49.080946;13.221176
389;23/08/2021;20:42;49.013193;13.390344
390;01/10/2021;06:45;48.92721;13.37844
391;24/01/2022;16:55;48.91944;13.45512
392;17/08/2021;NA:NA;48.897455;13.559763
393;30/07/2021;21:00;48.93469;13.33024
394;15/12/2021;17:30;49.012765;13.357726
395;20/12/2021;17:18;49.089238;13.250072
396;19/01/2022;17:30;49.017476;13.327149
397;29/12/2021;09:25;49.059317;13.28651
